Feature,ClassA,ClassB,N_A,N_B,Mean_A,Mean_B,Median_A,Median_B,MannWhitney_p,CohenD,CliffsDelta,FDR_q,AbsCliffsDelta,AbsCohenD
Pressure_Clean_Diff_Energy__median,0,1,7,8,26.09744013616076,16.52190054313663,24.735793428672583,14.601557933177144,0.04009324009324009,0.8966657244046763,0.6428571428571429,0.275990675990676,0.6428571428571429,0.8966657244046763
VMD_Mode4_PS_MeanStep__std,0,1,7,8,0.19180093694831737,0.587499201409784,0.1734643863973154,0.3101366773559677,0.04009324009324009,-0.8668146849335664,-0.6428571428571429,0.275990675990676,0.6428571428571429,0.8668146849335664
VMD_Mode4_PS_TrajectoryLength__std,0,1,7,8,55.80339428507936,169.1185701292018,50.20524228225545,89.14401847018362,0.04009324009324009,-0.8664063864587355,-0.6428571428571429,0.275990675990676,0.6428571428571429,0.8664063864587355
VMD_Mode4_RQA_L_mean__std,0,1,7,8,1.889925451845222,2.4756550769756527,1.634449138436739,2.3421974742220346,0.04009324009324009,-0.8004669671838976,-0.6428571428571429,0.275990675990676,0.6428571428571429,0.8004669671838976
Pressure_Clean_RQA_L_max__median,0,1,7,8,19.071428571428573,16.0625,18.0,16.0,0.046523927039580026,1.419235055022791,0.625,0.3049039849039849,0.625,1.419235055022791
Pressure_Clean_IQR__mean,0,1,7,8,0.9634141819073098,0.5819187606198167,0.8620551247354848,0.5618326937483307,0.054079254079254076,1.4536219342639607,0.6071428571428571,0.3049039849039849,0.6071428571428571,1.4536219342639607
Pressure_Clean_EmbeddedVectors__iqr,0,1,7,8,9.285714285714286,11.71875,9.0,11.625,0.05074745545952424,-1.3599733198380437,-0.6071428571428571,0.3049039849039849,0.6071428571428571,1.3599733198380437
VMD_Reconstructed_PS_MeanStep__std,0,1,7,8,0.26943399327229456,0.4970749186577852,0.2295605919869388,0.4907778915352753,0.054079254079254076,-1.3439617221022295,-0.6071428571428571,0.3049039849039849,0.6071428571428571,1.3439617221022295
VMD_Reconstructed_PS_EigRatio12__mean,0,1,7,8,2.245250482172719,3.5888626820098524,2.375309197921976,3.7089305259283383,0.054079254079254076,-1.2999618593238234,-0.6071428571428571,0.3049039849039849,0.6071428571428571,1.2999618593238234
VMD_Reconstructed_PS_LogVolume__std,0,1,7,8,2.9601033172571043,4.803427754654014,3.1656910529437505,5.002281207929741,0.054079254079254076,-1.2988397509045022,-0.6071428571428571,0.3049039849039849,0.6071428571428571,1.2988397509045022
