EventID,StartTime,EndTime,Duration_s,ReferenceSignal,TargetSignal,Reference_PeakAmplitude,Target_PeakAmplitude,PeakPreservationRatio,Reference_Area,Target_Area,AreaPreservationRatio,ShapeCorrelation,Shape_NRMSE,ArtifactRatioInEvent,RangeAbnormalRatioInEvent
11,52147.62999997008,52154.82999997006,7.199999999982538,Pressure_RangeFixed,Pressure_Preclean,1.486860877320055,1.486860877320055,0.9999999993274421,8.629627152183616,8.629627152183616,0.9999999998841201,1.0,0.0,0.0,0.0
12,52228.029999969884,52232.82999996987,4.7999999999883585,Pressure_RangeFixed,Pressure_Preclean,1.6479473676284755,1.6479473676284755,0.9999999993931844,5.68650976952001,5.68650976952001,0.9999999998241452,1.0,0.0,0.0,0.0
13,52405.62999996945,52414.02999996943,8.399999999979627,Pressure_RangeFixed,Pressure_Preclean,2.506263161513175,2.506263161513175,0.9999999996009996,13.680660580592676,13.680660580592676,0.9999999999269041,1.0,0.0,0.0,0.0
14,52448.82999996935,52454.82999996933,5.999999999985448,Pressure_RangeFixed,Pressure_Preclean,2.8032631656123073,2.8032631656123073,0.9999999996432728,13.497963242073622,13.497963242073622,0.9999999999259147,1.0,0.0,0.0,0.0
15,52595.22999996899,52601.22999996898,5.999999999985448,Pressure_RangeFixed,Pressure_Preclean,1.6947912894106452,1.6947912894106452,0.9999999994099568,7.388395998359533,7.388395998359533,0.9999999998646526,1.0,0.0,0.0,0.0
16,52950.42999996813,52960.02999996811,9.599999999976717,Pressure_RangeFixed,Pressure_Preclean,3.179280705892765,3.179280705892765,0.9999999996854634,24.376958171421602,24.376958171421602,0.9999999999589777,1.0,0.0,0.0,0.0
17,53053.62999996788,53065.62999996785,11.999999999970896,Pressure_RangeFixed,Pressure_Preclean,2.784165205568371,2.784165205568371,0.9999999996408259,28.42591048793676,28.42591048793676,0.9999999999648208,1.0,0.0,0.0,0.0
18,53099.22999996777,53107.62999996775,8.399999999979627,Pressure_RangeFixed,Pressure_Preclean,5.716217422118277,5.716217422118277,0.9999999998250592,34.00876334538943,34.00876334538943,0.999999999970596,1.0,0.0,0.0,0.0
19,53138.829999967675,53144.82999996766,5.999999999985448,Pressure_RangeFixed,Pressure_Preclean,4.5912105381140265,4.5912105381140265,0.9999999997821925,24.128021044249422,24.128021044249422,0.9999999999585544,1.0,0.0,0.0,0.0
20,53234.82999996744,53244.42999996742,9.599999999976717,Pressure_RangeFixed,Pressure_Preclean,5.277789451565965,5.277789451565965,0.9999999998105267,26.722085065980362,26.722085065980362,0.9999999999625777,1.0,0.0,0.0,0.0
21,53299.629999967285,53305.62999996727,5.999999999985448,Pressure_RangeFixed,Pressure_Preclean,4.796582608325764,4.796582608325764,0.9999999997915182,23.99315545758407,23.99315545758407,0.9999999999583215,1.0,0.0,0.0,0.0
22,53316.429999967244,53323.62999996723,7.199999999982538,Pressure_RangeFixed,Pressure_Preclean,4.14285216718919,4.14285216718919,0.9999999997586204,21.8192579393664,21.8192579393664,0.9999999999541689,1.0,0.0,0.0,0.0
23,53370.42999996711,53377.629999967096,7.199999999982538,Pressure_RangeFixed,Pressure_Preclean,4.321403508108347,4.321403508108347,0.9999999997685937,23.405569708870004,23.405569708870004,0.9999999999572752,1.0,0.0,0.0,0.0
24,53430.42999996697,53441.22999996694,10.799999999973807,Pressure_RangeFixed,Pressure_Preclean,2.33097367420946,2.33097367420946,0.9999999995709947,17.779637531396254,17.779637531396254,0.9999999999437559,0.9999999999999999,0.0,0.0,0.0
25,53470.02999996687,53480.829999966845,10.799999999973807,Pressure_RangeFixed,Pressure_Preclean,2.587982456779926,2.587982456779926,0.9999999996135985,19.27953320172731,19.27953320172731,0.9999999999481315,1.0,0.0,0.0,0.0
26,53644.02999996645,53653.629999966426,9.599999999976717,Pressure_RangeFixed,Pressure_Preclean,3.2636052595367318,3.2636052595367318,0.9999999996935903,22.83965117688801,22.83965117688801,0.9999999999562165,1.0,0.0,0.0,0.0
